Date,Open,Close,vix,vix9d,straddle_mark,straddle_pnl,ratio_m1_f2,ratio_m1_f4,ratio_m1_f6,ratio_m2_f2,ratio_m2_f4,ratio_m2_f6,ratio_m3_f2,ratio_m3_f4,ratio_m3_f6
2016-01-04,200.4900054931641,201.02000427246097,20.700000762939453,21.93000030517578,33.174077085392895,-2.6,250.04492923745977,241.3615400565767,241.32799308829394,13.567455438516626,13.536874748081255,13.533908470233898,13.567455438516626,13.533908470233898,13.533896413335354
2016-01-05,201.3999938964844,201.36000061035156,19.34000015258789,19.3700008392334,31.151593166473873,-202.2483918919022,106.08759890634595,97.47807111240971,97.45743315615705,13.673271858072154,13.360376507528889,13.360335599639702,13.380975605435422,13.360337649182776,13.360335599639702
2016-01-06,198.33999633789065,198.82000732421875,20.59000015258789,20.600000381469727,32.407217368997365,125.56242025234923,209.91661806321093,208.57361105960481,208.55569765303372,30.819486250205813,30.773213897441906,30.77253078780172,-1.1602327411241222,-1.1781461476952488,-1.1781504802758045
2016-01-07,195.3300018310547,194.0500030517578,24.989999771118164,26.190000534057617,38.27977373791151,587.2556368914147,177.43492322536108,160.2606043647219,160.05545652742626,86.16087723392978,83.79976818412298,83.78852990241258,31.06908889647839,30.86394105918275,30.86228262109556
2016-01-08,195.19000244140625,191.9199981689453,27.010000228881836,27.979999542236328,41.04504025016848,276.52665122569715,91.47105046844783,69.1830062255584,68.7891557495719,-6.405807923534365,-10.064476109451567,-10.092344363873526,41.877117417209746,41.483266941223256,41.47682815120651
2016-01-11,193.0099945068359,192.11000061035156,24.299999237060547,24.209999084472656,36.81874344836004,-422.6296801808445,135.31840192407662,131.24097015734952,131.1626913561812,59.88165162530743,58.63786889273371,58.6271275787413,4.490281699996068,4.4120028988277635,4.4118098620102195
2016-01-12,193.82000732421875,193.66000366210935,22.469999313354492,22.299999237060547,34.16559406949318,-265.3149378866857,227.85312106778696,225.8964425393378,225.79349656705602,38.35973438367141,38.25941853851495,38.2567512266047,0.3223074139900044,0.2193614417081733,0.2193239699528693
2016-01-13,194.4499969482422,188.8300018310547,25.219999313354492,25.56999969482422,37.8811843789058,371.5590309412619,-575.0882403483762,-581.4936667337271,-581.6181573605189,-158.48682435217827,-160.29317219453674,-160.3415997052815,9.290727374988203,9.166236748196294,9.164103918169756
2016-01-14,189.5500030517578,191.92999267578125,23.950000762939453,24.6299991607666,36.12964659028482,-175.1537788620979,140.13623202912837,128.96757193815458,128.91624104505493,62.232764132800476,61.197738172388334,61.17543478778479,18.595427345454922,18.54409645235527,18.542725129484936
2016-01-15,186.77000427246097,187.80999755859375,27.020000457763672,29.600000381469727,40.406121934467194,427.6475344182373,292.06810451918903,282.6947705420946,281.10226235418736,104.41912004107908,100.30231442433464,100.14071661941452,19.659088649714,18.066580461806687,18.05553750737723
2016-01-19,189.9600067138672,188.05999755859375,26.049999237060547,30.43000030517578,38.7796677371302,-162.64541973369973,237.3746258503734,209.70628418806157,209.0877500862771,58.082103668490795,52.854525444530935,52.79807090833634,53.4730595463154,52.854525444530935,52.79444455474733
2016-01-20,185.02999877929688,185.6499938964844,27.59000015258789,32.849998474121094,40.93879781604191,215.91300789117156,267.4433424767004,234.0688782565589,233.07691857864296,240.27095350206406,234.0688782565589,232.9643335133477,66.19246148724146,65.20050180932554,65.07856871859134
2016-01-21,186.2100067138672,186.69000244140625,26.690000534057617,29.989999771118164,39.58566457406047,-135.3133241981439,353.2486257003388,344.0609821963319,342.5840887540376,110.04077928423217,99.50589970698982,99.37624233793105,18.932460995124373,17.45556755283014,17.447137108864474
