Date,Open,Close,vix,vix9d,straddle_mark,straddle_pnl,ratio_m1_f2,ratio_m1_f4,ratio_m1_f6,ratio_m2_f2,ratio_m2_f4,ratio_m2_f6,ratio_m3_f2,ratio_m3_f4,ratio_m3_f6
2016-01-04,200.4900054931641,201.02000427246097,20.700000762939453,21.93000030517578,33.174077085392895,-2.6,156.18277725099526,154.41215101383224,154.40142617748518,36.114282462872524,35.94397466012297,35.94352244462962,-0.32653354825250247,-0.33725838459958535,-0.33727153686573796
2016-01-05,201.3999938964844,201.36000061035156,19.34000015258789,19.3700008392334,31.151593166473873,-202.2483918919022,117.06932438195389,115.67895158151745,115.67440017363185,19.41960278208149,19.317632369102164,19.317508166640046,-1.1055939651965532,-1.1101453730821702,-1.110147443164864
2016-01-06,198.33999633789065,198.82000732421875,20.59000015258789,20.600000381469727,32.407217368997365,125.56242025234923,129.94013701185378,128.02188178868641,128.0126094008654,24.375321634774288,24.207975259258298,24.207645658793957,-0.03564973727787901,-0.044922125098906474,-0.04492967502237821
2016-01-07,195.3300018310547,194.0500030517578,24.989999771118164,26.190000534057617,38.27977373791151,587.2556368914147,217.04409243286497,209.07082430223755,208.77498578016784,66.3411268043124,64.1867399253896,64.15728921581668,12.940559470364745,12.644720948295012,12.642557016382275
2016-01-08,195.19000244140625,191.9199981689453,27.010000228881836,27.979999542236328,41.04504025016848,276.52665122569715,31.665710659191298,20.55407570711415,20.160843122898754,82.51823843283708,80.12624952087324,80.07574137858751,19.524298835585157,19.131066251369738,19.123986352544357
2016-01-11,193.0099945068359,192.11000061035156,24.299999237060547,24.209999084472656,36.81874344836004,-422.6296801808445,174.84134351378287,170.3600987591369,170.30502873943013,44.003414855093204,43.40451259173605,43.400996747972336,5.228190641640801,5.173120621934036,5.172957842539841
2016-01-12,193.82000732421875,193.66000366210935,22.469999313354492,22.299999237060547,34.16559406949318,-265.3149378866857,146.03163424759603,143.40179364941503,143.38579681905182,30.777143959893657,30.51996269324337,30.51759533305698,1.4079299723973095,1.3919331420341248,1.3918470828882983
2016-01-13,194.4499969482422,188.8300018310547,25.219999313354492,25.56999969482422,37.8811843789058,371.5590309412619,-588.7932986097462,-581.5716772158418,-581.7890091953373,-353.0761469289351,-354.8009087636869,-354.8206320929375,-17.687288870141106,-17.904620849636586,-17.90593759609243
2016-01-14,189.5500030517578,191.92999267578125,23.950000762939453,24.6299991607666,36.12964659028482,-175.1537788620979,46.35232606247574,39.37909199022937,39.275010263617965,64.62098040884295,63.594945671574216,63.587563761108534,10.359839810207536,10.255758083596145,10.255382971207114
2016-01-15,186.77000427246097,187.80999755859375,27.020000457763672,29.600000381469727,40.406121934467194,427.6475344182373,259.4279651827429,242.76643451998146,242.03365210342153,87.41138588574697,83.47666331801452,83.32582018589206,31.670899829258218,30.93811741269829,30.92171609686101
