Date,Open,Close,vix,vix9d,straddle_mark,straddle_pnl,fly_w1pct_o-0.7pct,fly_w1pct_o+0.0pct,fly_w1pct_o+0.7pct,fly_w2pct_o-0.7pct,fly_w2pct_o+0.0pct,fly_w2pct_o+0.7pct,fly_w3pct_o-0.7pct,fly_w3pct_o+0.0pct,fly_w3pct_o+0.7pct,fly_w4pct_o-0.7pct,fly_w4pct_o+0.0pct,fly_w4pct_o+0.7pct
2016-01-04,200.4900054931641,201.02000427246097,20.700000762939453,21.93000030517578,33.174077085392895,-2.6,111.29704230903002,111.29704230903002,111.29704230903002,111.29704230903002,111.29704230903002,111.29704230903002,111.29704230903002,111.29704230903002,111.29704230903002,119.98043148991314,119.98043148991314,119.98043148991314
2016-01-05,201.3999938964844,201.36000061035156,19.34000015258789,19.3700008392334,31.151593166473873,-202.2483918919022,80.62527777783187,80.62527777783187,-35.53885726392527,80.62527777783187,80.62527777783187,-35.53885726392527,80.62527777783187,80.62527777783187,-35.53885726392527,89.2348055717681,89.2348055717681,6.530289587468399
2016-01-06,198.33999633789065,198.82000732421875,20.59000015258789,20.600000381469727,32.407217368997365,125.56242025234923,29.3800786033408,29.3800786033408,54.27182327374636,74.87517304937955,74.87517304937955,113.6436507280721,74.87517304937955,74.87517304937955,113.6436507280721,81.48670740720004,81.48670740720004,124.32142628103969
2016-01-07,195.3300018310547,194.0500030517578,24.989999771118164,26.190000534057617,38.27977373791151,587.2556368914147,78.92053191628781,78.92053191628781,-62.29390213790451,143.51628965040956,143.51628965040956,-68.90317026284728,143.51628965040956,143.51628965040956,-68.90317026284728,158.52464322642263,158.52464322642263,-40.88865392480463
2016-01-08,195.19000244140625,191.9199981689453,27.010000228881836,27.979999542236328,41.04504025016848,276.52665122569715,-72.03250021492275,-72.03250021492275,-58.693373001520065,-58.37955581074843,-58.37955581074843,-212.46073245459496,-58.37955581074843,-58.37955581074843,-212.46073245459496,-39.3791979426634,-39.3791979426634,-236.12477736244728
2016-01-11,193.0099945068359,192.11000061035156,24.299999237060547,24.209999084472656,36.81874344836004,-422.6296801808445,129.35490797312033,129.35490797312033,-67.59889895832957,184.98202854194685,184.98202854194685,-29.12270476145948,184.98202854194685,184.98202854194685,-29.12270476145948,195.63156676414025,195.63156676414025,-8.806223033705082
2016-01-12,193.82000732421875,193.66000366210935,22.469999313354492,22.299999237060547,34.16559406949318,-265.3149378866857,53.88398922225066,34.64468546514252,34.64468546514252,111.57206343294227,89.74367881712485,89.74367881712485,111.57206343294227,89.74367881712485,89.74367881712485,122.86527429974379,99.42585996361316,99.42585996361316
2016-01-13,194.4499969482422,188.8300018310547,25.219999313354492,25.56999969482422,37.8811843789058,371.5590309412619,-66.47565413128441,-77.08270843858253,-77.08270843858253,-102.16217309459019,-264.4677761013926,-264.4677761013926,-102.16217309459019,-264.4677761013926,-264.4677761013926,-77.75771041936733,-367.79773427380627,-367.79773427380627
2016-01-14,189.5500030517578,191.92999267578125,23.950000762939453,24.6299991607666,36.12964659028482,-175.1537788620979,-67.40025523173331,-24.710867223408094,-24.710867223408094,-181.669544293715,30.475205072941748,30.475205072941748,-181.669544293715,30.475205072941748,30.475205072941748,-159.7162139659879,40.63921861992406,40.63921861992406
2016-01-15,186.77000427246097,187.80999755859375,27.020000457763672,29.600000381469727,40.406121934467194,427.6475344182373,-64.05064676432241,149.28655973677428,149.28655973677428,-64.05064676432241,149.28655973677428,149.28655973677428,-8.179490655094066,224.93324457373623,224.93324457373623,21.07638461015207,246.09295186888434,246.09295186888434
2016-01-19,189.9600067138672,188.05999755859375,26.049999237060547,30.43000030517578,38.7796677371302,-162.64541973369973,137.52295007434512,-12.521199246070955,-54.7644972882811,239.75059176535302,65.59541307480215,-143.85404068522354,239.75059176535302,65.59541307480215,-143.85404068522354,280.7258538020404,88.65471061493858,-102.10364627886241
2016-01-20,185.02999877929688,185.6499938964844,27.59000015258789,32.849998474121094,40.93879781604191,215.91300789117156,-54.501241039147196,119.45996299616118,11.100127646760408,-54.501241039147196,119.45996299616118,11.100127646760408,-12.620090642584733,203.3981713808199,118.45132922099546,32.92049936153354,230.57056035545622,163.0510228470411
2016-01-21,186.2100067138672,186.69000244140625,26.690000534057617,29.989999771118164,39.58566457406047,-135.3133241981439,13.59378348783016,13.59378348783016,102.7704603297831,13.59378348783016,13.59378348783016,102.7704603297831,94.08548627728467,94.08548627728467,184.84301814093234,119.06052359312234,119.06052359312234,210.01596172165205
2016-01-22,189.77999877929688,190.52000427246097,22.34000015258789,22.59000015258789,33.2600383271823,-632.5626246878173,-66.03259176110703,109.40958400957362,109.40958400957362,-39.070360640491074,154.68666222783784,154.68666222783784,-39.070360640491074,154.68666222783784,154.68666222783784,-18.76292462762923,161.07053150520665,161.07053150520665
2016-01-25,189.9199981689453,187.63999938964844,24.149999618530273,26.040000915527344,35.70188088057242,244.1842553390117,175.1075958397333,-64.58583413710636,-64.58583413710636,266.32764748533896,-4.294338223062352,-4.294338223062352,266.32764748533896,-4.294338223062352,-4.294338223062352,296.5286515958284,8.366992184325264,8.366992184325264
2016-01-26,188.4199981689453,190.1999969482422,22.5,24.25,33.30094442303789,-240.09364575345273,-80.7925825476673,-80.7925825476673,156.26528777510947,-43.79173504128142,-43.79173504128142,223.40378574350626,-43.79173504128142,-43.79173504128142,223.40378574350626,-32.49838906121482,-32.49838906121482,238.46325981466768
2016-01-27,189.5800018310547,188.1300048828125,23.11000061035156,24.510000228881836,34.10019258954773,79.9248166509841,119.86608445863779,-19.15300166504219,-19.15300166504219,198.95441977913126,35.36388972659699,35.36388972659699,198.95441977913126,35.36388972659699,35.36388972659699,221.00848506901792,45.24703118622842,45.24703118622842
2016-01-28,189.9600067138672,189.11000061035156,22.420000076293945,23.399999618530273,33.06178760715201,-103.84049823957184,26.651254491628396,74.81918794601759,-60.6474347049738,112.68234713353358,123.52155445956984,-61.60249432055445,112.68234713353358,123.52155445956984,-61.60249432055445,137.33847874479628,131.17839953987678,-36.93777774022402
2016-01-29,190.02000427246097,193.72000122070312,20.200000762939453,19.3700008392334,30.017415969457147,-304.4371637694866,-62.572683237864155,-100.83575862780557,64.19660842070972,-234.15878346859074,-192.1682332918827,140.0525350715779,-234.15878346859074,-192.1682332918827,140.0525350715779,-339.9508774543016,-189.6626482439355,154.5901995435261
2016-02-01,192.52999877929688,193.6499938964844,19.979999542236328,19.68000030517578,29.557706122650927,-45.970984680621996,-62.3225355819214,36.51469360146853,51.12701484137896,-97.1938340748682,69.71322524328109,128.15842665154844,-97.1938340748682,69.71322524328109,128.15842665154844,-79.55379965771276,72.7586449590352,143.82955060711504
2016-02-02,191.9600067138672,190.16000366210935,21.979999542236328,22.190000534057617,32.22389686653841,266.61907438874834,162.41052960001454,-71.75649327455604,-71.75649327455604,232.56010488110854,-25.477161066394704,-25.477161066394704,232.56010488110854,-25.477161066394704,-25.477161066394704,248.80458581548302,-18.84123739961645,-18.84123739961645
2016-02-03,191.41000366210935,191.3000030517578,21.649999618530273,22.350000381469727,31.74699941084448,-47.68974556939298,40.46409710846264,47.06837585525354,47.06837585525354,98.89457916135063,99.85653034203138,99.85653034203138,98.89457916135063,99.85653034203138,99.85653034203138,110.40040109642611,108.64697299416254,108.64697299416254
2016-02-04,190.7100067138672,191.6000061035156,21.84000015258789,21.75,31.99587230882051,24.88728979760282,1.2810135255825883,1.2810135255825883,85.04382500895707,46.680010656905836,46.680010656905836,148.6468039588831,46.680010656905836,46.680010656905836,148.6468039588831,53.29052858734913,53.29052858734913,161.03323296511698
2016-02-05,190.9900054931641,187.9499969482422,23.3799991607666,22.959999084472656,34.07578733084202,207.99150220215097,-37.75575062177412,-37.75575062177412,-76.6006422232458,16.169335801521825,16.169335801521825,-219.42479717710395,16.169335801521825,16.169335801521825,-219.42479717710395,26.04645746408776,26.04645746408776,-206.91524066874894
2016-02-08,185.77000427246097,185.4199981689453,26.0,26.399999618530273,37.6895044575875,361.37171267454846,130.6965501354387,130.6965501354387,-26.7805711580259,130.6965501354387,130.6965501354387,-26.7805711580259,193.35317115398618,193.35317115398618,49.44717596395807,207.4477423058512,207.4477423058512,69.81221886278263
