Date,Open,Close,vix,vix9d,straddle_mark,straddle_pnl,fly_w5_o-5,fly_w5_o+0,fly_w5_o+5,fly_w10_o-5,fly_w10_o+0,fly_w10_o+5,fly_w15_o-5,fly_w15_o+0,fly_w15_o+5,fly_w20_o-5,fly_w20_o+0,fly_w20_o+5
2016-01-04,200.4900054931641,201.02000427246097,20.700000762939453,21.93000030517578,33.174077085392895,-2.6,-84.52226099824466,111.29704230903002,-26.050109691665057,-54.6520996243814,119.98043148991314,58.010318211784444,-48.15565532071739,120.01397845819585,60.1972751459021,-48.12507463028191,120.01399051509439,60.20024142415152
2016-01-05,201.3999938964844,201.36000061035156,19.34000015258789,19.3700008392334,31.151593166473873,-202.2483918919022,-78.41922108840446,156.01064945170137,-81.27529282045077,3.396865318866984,160.28550255630876,-4.4761765199803545,6.616688210255164,160.2900558123493,-3.4211460848253084,6.620911988861769,160.29005603428516,-3.4208166073909063
2016-01-06,198.33999633789065,198.82000732421875,20.59000015258789,20.600000381469727,32.407217368997365,125.56242025234923,-84.61393511935792,117.1954038929189,-35.04208649107945,-48.32469483564312,122.69350373716702,48.47335608831178,-44.399144386831345,122.70278270735416,50.04590645235039,-44.39082755106629,122.70278367595643,50.04686858677887
2016-01-07,195.3300018310547,194.0500030517578,24.989999771118164,26.190000534057617,38.27977373791151,587.2556368914147,-6.910288133341622,143.51628965040956,-127.39040021818991,129.04906492509454,160.69060851104874,-117.02708157932548,140.25795872463033,160.8969905579398,-111.06122168380682,140.42490287652274,160.89742539235505,-111.02178361172835
2016-01-08,195.19000244140625,191.9199981689453,27.010000228881836,27.979999542236328,41.04504025016848,276.52665122569715,197.04008982293252,-58.37955581074843,-124.33120733105883,332.07690496747887,-36.091511567858994,-314.748728220819,345.3553866709302,-35.69266150232424,-305.7376741406618,345.6476157406977,-35.69116996160526,-305.6310517743167
2016-01-11,193.0099945068359,192.11000061035156,24.299999237060547,24.209999084472656,36.81874344836004,-422.6296801808445,-19.34023389388655,132.42253713083858,-110.26048409148574,94.17784769453118,143.20307383807327,-88.70082613290863,100.09820794481871,143.2582762542295,-83.84061838388598,100.13681172727277,143.25830754630496,-83.8240197476326
2016-01-12,193.82000732421875,193.66000366210935,22.469999313354492,22.299999237060547,34.16559406949318,-265.3149378866857,-77.37185397328795,173.92273919815125,-97.39854200761926,20.671826311771536,181.03379997716098,-18.903402579410432,23.989798655352846,181.0498804922781,-15.110311733792,23.999354151064512,181.04988290246806,-15.103786714348574
2016-01-13,194.4499969482422,188.8300018310547,25.219999313354492,25.56999969482422,37.8811843789058,371.5590309412619,387.4605959385954,-265.7239004134063,-131.1943951289699,526.825898686576,-267.222882455418,-533.5233925690235,537.653530895943,-267.06267673408473,-545.8497387979558,537.791095300518,-267.06240871163817,-545.827097405139
2016-01-14,189.5500030517578,191.92999267578125,23.950000762939453,24.6299991607666,36.12964659028482,-175.1537788620979,-128.07052258807815,30.475205072941748,100.80526004434452,-227.4643025455796,41.643865163915514,233.326927875812,-223.40450243207803,41.69654796493976,240.4358074390866,-223.3828647912068,41.69656755074207,240.46685260024876
2016-01-15,186.77000427246097,187.80999755859375,27.020000457763672,29.600000381469727,40.406121934467194,427.6475344182373,-126.68914095744867,171.14605510924414,-29.10801120324795,-89.28916924047147,194.45367561955877,107.65555991967338,-78.50725911295592,194.87116335021304,120.18266897600202,-78.2795116396291,194.87256202374263,120.37241042816909
2016-01-19,189.9600067138672,188.05999755859375,26.049999237060547,30.43000030517578,38.7796677371302,-162.64541973369973,72.32813187200921,65.59541307480215,-118.21392084626422,202.526160370245,93.263754737114,-179.54154763171888,216.9369434249626,93.93874337509301,-166.28019179653145,217.3585767024563,93.94254060268612,-166.02683023091072
2016-01-20,185.02999877929688,185.6499938964844,27.59000015258789,32.849998474121094,40.93879781604191,215.91300789117156,-121.25578976102311,203.3981713808199,-56.72663496141814,-48.84473246715573,236.7726356009614,77.96502386874548,-30.8711999615624,237.87718034417264,93.37589208304732,-30.15856486731494,237.8871168439262,93.76783147291013
2016-01-21,186.2100067138672,186.69000244140625,26.690000534057617,29.989999771118164,39.58566457406047,-135.3133241981439,-111.56854594939892,184.61244709962318,-56.57575992737869,-42.89979071191639,209.03930588423682,62.477082469140804,-28.260804778711556,209.5484564186157,72.26737809959756,-27.88523565749028,209.55087919766353,72.40096260389554
2016-01-22,189.77999877929688,190.52000427246097,22.34000015258789,22.59000015258789,33.2600383271823,-632.5626246878173,-112.69635387524276,154.68666222783784,-43.13251585383304,-69.18466117685621,161.50317228836894,70.65646653906644,-66.13216100017755,161.5171851518172,74.420478206222,-66.12418383003595,161.5171869351203,74.4265138995522
2016-01-25,189.9199981689453,187.63999938964844,24.149999618530273,26.040000915527344,35.70188088057242,244.1842553390117,120.43603519827249,-4.294338223062352,-109.88760488617297,234.95740399753026,9.918471427742206,-225.98873936821005,242.22893224656409,10.033043968025204,-219.04733413746789,242.30189413230192,10.033167796996636,-219.00572345836952
2016-01-26,188.4199981689453,190.1999969482422,22.5,24.25,33.30094442303789,-240.09364575345273,-90.34891857302442,-0.7893843497527286,93.4974629833709,-179.16330016982604,9.528493272609298,184.17648219466693,-171.80713702623623,9.582515236856429,187.1382292092023,-171.7593925853959,9.582547772619623,187.14450673493204
2016-01-27,189.5800018310547,188.1300048828125,23.11000061035156,24.510000228881836,34.10019258954773,79.9248166509841,60.49915210289776,35.36388972659699,-92.9824191945822,154.88493718699425,46.203229923274655,-149.3554452579135,158.93977755075042,46.25209921744287,-142.5709280529886,158.9607572989232,46.252116589446395,-142.54303850613567
2016-01-28,189.9600067138672,189.11000061035156,22.420000076293945,23.399999618530273,33.06178760715201,-103.84049823957184,-18.113688987284224,123.52155445956984,-105.09125627570086,88.70128562649401,131.79688121791767,-85.75853914900834,93.09617638782191,131.8230184988186,-81.87809601724531,93.114126749525,131.82302563356168,-81.8699090978183
2016-01-29,190.02000427246097,193.72000122070312,20.200000762939453,19.3700008392334,30.017415969457147,-304.4371637694866,-90.48931970543929,-192.1682332918827,277.2824656338174,-368.9623380969738,-189.58460309362104,366.1881948683241,-367.4737293489725,-189.5836589587661,367.28321632887577,-367.4729824894968,-189.58365894847483,367.28341360425503
2016-02-01,192.52999877929688,193.6499938964844,19.979999542236328,19.68000030517578,29.557706122650927,-45.970984680621996,-116.8062697154123,122.84957797652098,-10.580417083905422,-107.87086220854488,126.27118671548834,105.93531879692434,-106.83753881733244,126.27275212666447,108.32360415796697,-106.83699922269963,126.27275213995225,108.3246299745104
2016-02-02,191.9600067138672,190.16000366210935,21.979999542236328,22.190000534057617,32.22389686653841,266.61907438874834,79.8903813912402,20.96852319906757,-102.2985429388129,182.98651002679864,27.487602412325018,-181.8128153655799,186.45942194801435,27.5009354220489,-178.76664618363415,186.46872227463038,27.500937311953003,-178.76261350050095
2016-02-03,191.41000366210935,191.3000030517578,21.649999618530273,22.350000381469727,31.74699941084448,-47.68974556939298,-85.51921999383929,177.7170536748338,-92.85534622810144,9.979040696699817,185.01825868949288,-8.015697632567262,15.29929680058755,185.03911430073234,-6.034743826374298,15.318135224453824,185.03911919615405,-6.032726638905325
2016-02-04,190.7100067138672,191.6000061035156,21.84000015258789,21.75,31.99587230882051,24.88728979760282,-113.78129180073532,141.35696371777297,-29.847775467054504,-84.2744722805927,147.0435777295216,84.61037730621487,-81.9399542656763,147.05158630516067,87.96247383437289,-81.93583059740172,147.05158683648636,87.96635874174042
2016-02-05,190.9900054931641,187.9499969482422,23.3799991607666,22.959999084472656,34.07578733084202,207.99150220215097,200.13907292174082,-94.91349280054592,-105.49486887929655,307.1529260878354,-87.224063996884,-304.8007089462224,311.3450016988239,-87.20255809716924,-301.30335080983764,311.3602398111064,-87.20255315345786,-301.29708302228175
2016-02-08,185.77000427246097,185.4199981689453,26.0,26.399999618530273,37.6895044575875,361.37171267454846,-63.24570290125722,172.69947533856893,-103.66281055664876,44.038558787728086,186.44915478099944,-35.54701053288493,50.29457326110831,186.54974115517965,-28.053257805383613,50.350347579462245,186.54982891363068,-28.008445735713416
2016-02-09,183.36000061035156,185.42999267578125,26.540000915527344,26.84000015258789,38.39658952676541,70.70850691779071,-98.22881915855952,-11.20492905908341,115.98672549310257,-207.1101348035315,3.3067657781418425,216.39721371103144,-197.34687710136305,3.440867410182127,221.1458459858627,-197.2342922225461,3.441062549956644,221.16736278736448
2016-02-10,186.41000366210935,185.27000427246097,26.290000915527344,25.530000686645508,37.998843832533,-39.774569423241246,-20.859353333916108,153.2460183758089,-127.79879172860458,113.03194708775449,165.7926092508669,-105.75258063249589,121.79161277553987,165.88410239283726,-101.96556342774345,121.87090220853793,165.88419441031712,-101.95335970539486
2016-02-11,182.33999633789065,182.86000061035156,28.13999938964844,27.36000061035156,40.61944612034047,262.0602287807472,-99.94723522287592,148.0805183750985,-40.710327101722505,-51.692995985430755,163.46219198736998,61.87199011250433,-41.49652911655137,163.6182300639434,67.05745871204546,-41.36730404610971,163.6184919200925,67.08427179764288
2016-02-12,184.9600067138672,186.6300048828125,25.399999618530273,22.709999084472656,36.616379202831524,-400.3066917508946,-103.17351405040124,39.50706287298027,61.718125893015134,-164.35677994934716,45.517455150339295,165.01908758258182,-161.14566554032123,45.52808806797979,167.81836669478858,-161.13813705979638,45.528089311853456,167.8214711319173
2016-02-16,188.77000427246097,189.77999877929688,24.11000061035156,21.809999465942383,34.611864140599536,-200.4515062231988,-110.46166774711105,121.66121468527481,-13.771407875461447,-97.00072595121371,127.04807130974024,97.0359137881929,-94.63488912085103,127.05512008401718,100.05693403206378,-94.63089627368595,127.0551205337853,100.05998995917807
2016-02-17,191.16000366210935,192.8800048828125,22.309999465942383,20.270000457763672,32.15730801684455,-245.45561237549833,-88.11989056776162,0.8909916307847232,83.02528334321869,-171.4029163345715,4.646093598791515,169.8023112527953,-168.98175244885368,4.649104110773596,171.1362494421732,-168.9791944099956,4.649104217862446,171.13670191529732
2016-02-18,193.1999969482422,192.08999633789065,21.63999938964844,19.530000686645508,31.09456561570923,-106.27424011353241,6.7384844788145575,93.63214952700834,-105.13720664223288,111.33918500050112,96.82429445236754,-113.50384992977052,113.4818027140647,96.82620215950811,-112.45432267564831,113.48347547401951,96.82620220183468,-112.45408772846261
2016-02-19,191.1699981689453,192.0,20.530000686645508,18.219999313354492,29.457099130246846,-163.7466485462383,-79.34783550227166,71.30567767505548,1.8826026363208093,-82.69480814095262,73.10484004592064,79.13560452468714,-81.47985627667815,73.10519162055054,79.71981503267259,-81.47954161630315,73.1051916219453,79.71985194692743
2016-02-22,193.8699951171875,194.77999877929688,19.3799991607666,18.38999938964844,27.900984201512827,-155.61149287340186,-95.24115934640403,96.77402221911308,-7.448709581147936,-89.48247392420969,98.816893072439,86.1670440595592,-88.49327419784993,98.81730991622747,87.22071518825805,-88.49299224970652,98.8173099179601,87.22085008390312
2016-02-23,194.0,192.32000732421875,20.979999542236328,20.690000534057617,29.93796249378869,203.69782922758617,70.05120170692079,26.562816637903342,-99.99757678455526,169.91507764150523,31.137975759933113,-170.69370980516806,172.45946388109522,31.142902036001473,-168.66293665344153,172.46311845432734,31.142902305288153,-168.66166495060438
2016-02-24,190.6300048828125,193.1999969482422,20.719999313354492,20.719999313354492,29.581948533420245,-35.601396036844335,-114.4485282206815,-26.356877948429755,137.1489851425795,-252.71631470272766,-22.05458141319656,251.66324206163404,-251.1576193912311,-22.051233027758485,254.4068433649878,-251.15613315205493,-22.051232948141376,254.4087055112498
2016-02-25,193.72999572753903,195.5399932861328,19.11000061035156,17.790000915527344,27.472943007270715,-210.90055261495309,-99.85059500715803,16.158024952198513,77.3579497902629,-179.25379634876091,17.782122249270493,175.51935703741356,-178.61977339274492,17.782303202619886,176.5094313787192,-178.61967671294715,17.78230320286942,176.50951565227072
2016-02-26,196.57000732421875,195.08999633789065,19.809999465942383,18.559999465942383,28.37418280272641,90.12397954556945,78.83110924610615,-9.904276845587631,-74.2745838408043,151.23784080833838,-7.2933107241049715,-153.98489538470878,152.0489057914994,-7.292613860189665,-152.1849942437461,152.04916113560606,-7.292613857548622,-152.1845527239375
2016-02-29,195.11000061035156,193.55999755859375,20.549999237060547,20.36000061035156,29.141742377093166,76.75595743667571,51.77459181127649,48.95126059177646,-104.33451120259767,156.1014671664038,53.30131935399174,-157.10564788821452,158.77234712342874,53.305797431725836,-155.42646885115792,158.7759822192571,53.305797663592,-155.42562586925152
2016-03-01,195.0099945068359,198.11000061035156,17.700000762939453,17.040000915527344,25.646145983051753,-349.55963940414136,-83.15107260336083,-147.7578418168472,224.14065548497345,-309.279328226672,-146.5673831903182,305.1111602592405,-308.58758593309756,-146.5672922225152,305.60987659228397,-308.587511314264,-146.56729222242612,305.6098929412535
2016-03-02,197.7400054931641,199.0,17.09000015258789,15.779999732971191,24.916805240641878,-72.93407424098746,-92.21013449792689,54.66925520823114,30.295803050239535,-124.91619627365759,55.382896530538254,120.27113336171078,-124.64710227108988,55.38290985804777,120.71568068145149,-124.64709499640298,55.38290985804897,120.715686734274
2016-03-03,198.7899932861328,199.77999877929688,16.700000762939453,15.90999984741211,24.497422760043733,-41.9382480598145,-90.51569643840145,78.28328777105345,5.063991774672319,-97.9294854152058,79.07358844014294,93.36108831011856,-97.59993156789265,79.07360822773146,93.821835131898,-97.59991951174146,79.07360822773447,93.82184286333526
2016-03-04,200.0099945068359,200.42999267578125,16.860000610351562,15.859999656677246,24.83256557264903,33.5142812605298,-79.65466359466672,113.05229509369362,-40.55141967719484,-41.31069350059866,113.85722447728969,36.75693247405068,-40.838788789048344,113.85725162890957,37.08995714610371,-40.83876612363036,113.85725162891694,37.089961632305695
2016-03-07,199.33999633789065,200.58999633789065,17.350000381469727,17.65999984741211,25.42773291958416,59.516734693512774,-72.72058337750852,15.544509402743481,51.32672421157183,-125.12063142792408,17.653877201314927,121.87186090877152,-123.51462921091337,17.654456445355617,122.37522649371638,-123.5140826919092,17.654456448739687,122.37525921875283
2016-03-08,199.32000732421875,198.3999938964844,18.670000076293945,19.170000076293945,26.761905336055747,133.41724164715885,-20.07108983128518,127.69839004038315,-111.96204915833611,91.8404642014443,131.32235865291213,-93.57239753321718,94.4690828281879,131.3251742703774,-92.57704745993217,94.47165341658223,131.325174357877,-92.5768024308611
2016-03-09,199.36000061035156,199.3800048828125,18.34000015258789,18.790000915527344,26.447868198848155,-31.403713720759185,-76.81517033850761,146.8319266617593,-74.72684128226784,-2.332076849726603,150.08055926450908,0.2240538308103246,0.10339089786810751,150.08262120460904,1.037218731333469,0.10530959798138673,150.082621249977,1.0373619713200966
